maj, 145 290 580 1160 2320 545 1090 2180 265 530 1060 2120;
min, 137 274 548 1096 2192 289 578 1156 2312 529 1058 2116;
aug, 273 546 1092 2184 273 546 1092 2184 273 546 1092 2184;
dim, 73 146 292 584 1168 2336 577 1154 2308 521 1042 2084;
sus2, 133 266 532 1064 2128 161 322 644 1288 2576 1057 2114;
sus4, 161 322 644 1288 2576 1057 2114 133 266 532 1064 2128;
maj6, 657 1314 2628 1161 2322 549 1098 2196 297 594 1188 2376;
min6, 649 1298 2596 1097 2194 293 586 1172 2344 593 1186 2372;
maj7, 2193 291 582 1164 2328 561 1122 2244 393 786 1572 3144;
minmaj7, 1161 2322 549 1098 2196 297 594 1188 2376 657 1314 2628;
min7, 1161 2322 549 1098 2196 297 594 1188 2376 657 1314 2628;
min7b5, 1097 2194 293 586 1172 2344 593 1186 2372 649 1298 2596;
aug7, 2321 547 1094 2188 281 562 1124 2248 401 802 1604 3208;
dim7, 585 1170 2340 585 1170 2340 585 1170 2340 585 1170 2340;
min9, 1037 2074 53 106 212 424 848 1696 3392 2689 1283 2566;
min11, 1065 2130 165 330 660 1320 2640 1185 2370 645 1290 2580;
dom7, 1169 2338 581 1162 2324 553 1106 2212 329 658 1316 2632;
dom7sus4, 1185 2370 645 1290 2580 1065 2130 165 330 660 1320 2640;
dom9, 1173 2346 597 1194 2388 681 1362 2724 1353 2706 1317 2634;
dom13, 1685 3370 2645 1195 2390 685 1370 2740 1385 2770 1445 2890;
dom7b5, 1105 2210 325 650 1300 2600 1105 2210 325 650 1300 2600;
dom7(#11), 1105 2210 325 650 1300 2600 1105 2210 325 650 1300 2600;
dom7(#9), 1177 2354 613 1226 2452 809 1618 3236 2377 659 1318 2636;
dom7#5, 1297 2594 1093 2186 277 554 1108 2216 337 674 1348 2696;
dom7(b5b13), 1361 2722 1349 2698 1301 2602 1109 2218 341 682 1364 2728;
dom7b5(b9), 1171 2342 589 1178 2356 617 1234 2468 841 1682 3364 2633;
dom7b5(#9), 1177 2354 613 1226 2452 809 1618 3236 2377 659 1318 2636;
dom7#5(b9), 1299 2598 1101 2202 309 618 1236 2472 849 1698 3396 2697;
dom7#5(#9), 1305 2610 1125 2250 405 810 1620 3240 2385 675 1350 2700;
